ADM0_EN,ADM0_SW,ADM0_PCODE,ADM1_EN,ADM1_PCODE,ADM2_EN,ADM2_PCODE,TOTAL_BOTH,TOTAL_MALE,TOTAL_FEMA,RURAL_BOTH,RURAL_MALE,URBAN_BOTH,URBAN_MALE,URBAN_FEMA,RURAL_FEMA
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kondoa,TZ0101,269704,136518,133186,242321,123518,27383,13000,14383,118803
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Mpwapwa,TZ0102,305056,147306,157750,278455,134756,26601,12550,14051,143699
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kongwa,TZ0103,309973,149221,160752,279961,134894,30012,14327,15685,145067
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Chamwino,TZ0104,330543,158882,171661,311520,149966,19023,8916,10107,161554
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Dodoma Urban,TZ0105,410956,199487,211469,197320,96064,213636,103423,110213,101256
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Bahi,TZ0106,221645,105975,115670,221645,105975,0,0,0,115670
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Chemba,TZ0107,235711,117585,118126,231172,115343,4539,2242,2297,115829
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Arusha,TZ02,Monduli,TZ0201,158929,75615,83314,138531,65788,20398,9827,10571,72743
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Arusha,TZ02,Meru,TZ0202,268144,131264,136880,228931,112723,39213,18541,20672,116208
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Arusha,TZ02,Arusha Urban,TZ0203,365990,175193,190797,37892,18156,328098,157037,171061,19736
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Arusha,TZ02,Karatu,TZ0204,230166,117769,112397,215323,110693,14843,7076,7767,104630
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Arusha,TZ02,Ngorongoro,TZ0205,183472,86668,96804,158606,74699,24866,11969,12897,83907
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Arusha,TZ02,Arusha,TZ0206,364456,174574,189882,240565,114637,123891,59937,63954,125928
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Arusha,TZ02,Longido,TZ0207,123153,60199,62954,115340,56377,7813,3822,3991,58963
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Kilimanjaro,TZ03,Rombo,TZ0301,260963,124528,136435,243109,115777,17854,8751,9103,127332
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Kilimanjaro,TZ03,Mwanga,TZ0302,131442,63199,68243,94731,45644,36711,17555,19156,49087
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Kilimanjaro,TZ03,Same,TZ0303,269807,131515,138292,181972,90123,87835,41392,46443,91849
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Kilimanjaro,TZ03,Moshi,TZ0304,466737,225767,240970,450429,218042,16308,7725,8583,232387
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Kilimanjaro,TZ03,Hai,TZ0305,210533,102457,108076,170069,83242,40464,19215,21249,86827
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Kilimanjaro,TZ03,Moshi Urban,TZ0306,184292,89174,95118,0,0,184292,89174,95118,0
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Kilimanjaro,TZ03,Siha,TZ0307,116313,56500,59813,102402,49769,13911,6731,7180,52633
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Tanga,TZ04,Lushoto,TZ0401,492441,230236,262205,457284,213933,35157,16303,18854,243351
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Tanga,TZ04,Korogwe,TZ0402,242038,118544,123494,222854,109376,19184,9168,10016,113478
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Tanga,TZ04,Muheza,TZ0403,204461,100843,103618,191622,94984,12839,5859,6980,96638
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Tanga,TZ04,Tanga Urban,TZ0404,273332,130920,142412,52205,26501,221127,104419,116708,25704
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Tanga,TZ04,Pangani,TZ0405,54025,26870,27155,45235,22783,8790,4087,4703,22452
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Tanga,TZ04,Handeni,TZ0406,276646,137218,139428,276646,137218,0,0,0,139428
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Tanga,TZ04,Kilindi,TZ0407,236833,118167,118666,236833,118167,0,0,0,118666
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Tanga,TZ04,Mkinga,TZ0408,118065,57760,60305,109592,53742,8473,4018,4455,55850
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Tanga,TZ04,Korogwe Township Authority,TZ0409,68308,33121,35187,12026,5810,56282,27311,28971,6216
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Tanga,TZ04,Handeni Mji,TZ0410,79056,38668,40388,0,0,79056,38668,40388,0
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Morogoro,TZ05,Kilosa,TZ0501,438175,218378,219797,311946,156549,126229,61829,64400,155397
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Morogoro,TZ05,Morogoro,TZ0502,286248,140824,145424,273231,134698,13017,6126,6891,138533
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Morogoro,TZ05,Kilombero,TZ0503,407880,202789,205091,309426,155540,98454,47249,51205,153886
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Morogoro,TZ05,Ulanga,TZ0504,265203,131562,133641,231295,115340,33908,16222,17686,115955
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Morogoro,TZ05,Morogoro Urban,TZ0505,315866,151700,164166,10026,4843,305840,146857,158983,5183
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Morogoro,TZ05,Mvomero,TZ0506,312109,154843,157266,276447,136981,35662,17862,17800,139466
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Morogoro,TZ05,Gairo,TZ0507,193011,93206,99805,170063,82136,22948,11070,11878,87927
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Pwani,TZ06,Bagamoyo,TZ0601,311740,154198,157542,236952,118221,74788,35977,38811,118731
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Pwani,TZ06,Kibaha,TZ0602,70209,34515,35694,38370,19227,31839,15288,16551,19143
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Pwani,TZ06,Kisarawe,TZ0603,101598,50631,50967,84174,42189,17424,8442,8982,41985
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Pwani,TZ06,Mkuranga,TZ0604,216397,105126,111271,180218,88275,36179,16851,19328,91943
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Pwani,TZ06,Rufiji,TZ0605,223798,107749,116049,164286,79939,59512,27810,31702,84347
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Pwani,TZ06,Mafia,TZ0606,46438,22954,23484,34297,17209,12141,5745,6396,17088
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Pwani,TZ06,Kibaha Urban,TZ0607,128488,62653,65835,0,0,128488,62653,65835,0
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dar-es-salaam,TZ07,Kinondoni,TZ0701,1775049,860802,914247,0,0,1775049,860802,914247,0
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dar-es-salaam,TZ07,Ilala,TZ0702,1220611,595928,624683,0,0,1220611,595928,624683,0
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dar-es-salaam,TZ07,Temeke,TZ0703,1368881,669056,699825,0,0,1368881,669056,699825,0
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Lindi,TZ08,Kilwa,TZ0801,184214,88397,95817,165189,79481,19025,8916,10109,85708
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Lindi,TZ08,Lindi,TZ0802,194143,91647,102496,181979,86029,12164,5618,6546,95950
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Lindi,TZ08,Nachingwea,TZ0803,178464,86382,92082,153244,74123,25220,12259,12961,79121
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Lindi,TZ08,Liwale,TZ0804,91380,44027,47353,78002,37847,13378,6180,7198,40155
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Lindi,TZ08,Ruangwa,TZ0805,137610,66529,71081,124189,60295,13421,6234,7187,63894
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Lindi,TZ08,Lindi Urban,TZ0806,78841,37525,41316,0,0,78841,37525,41316,0
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Mtwara,TZ09,Mtwara,TZ0901,238166,112786,125380,224817,106647,13349,6139,7210,118170
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Mtwara,TZ09,Newala,TZ0902,199765,92301,107464,175488,81196,24277,11105,13172,94292
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Mtwara,TZ09,Masasi,TZ0903,247993,118976,129017,216829,104220,31164,14756,16408,112609
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Mtwara,TZ09,Tandahimba,TZ0904,226877,105058,121819,183410,85065,43467,19993,23474,98345
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Mtwara,TZ09,Mtwara Urban,TZ0905,117211,55240,61971,16060,7476,101151,47764,53387,8584
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Mtwara,TZ09,Nanyumbu,TZ0906,138146,66176,71970,118364,56803,19782,9373,10409,61561
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Mtwara,TZ09,Masasi  Township Authority,TZ0907,102696,49111,53585,44382,21232,58314,27879,30435,23150
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Ruvuma,TZ10,Tunduru,TZ1001,298279,143660,154619,267518,129184,30761,14476,16285,138334
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Ruvuma,TZ10,Songea,TZ1002,173821,86548,87273,150863,75534,22958,11014,11944,75329
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Ruvuma,TZ10,Mbinga,TZ1003,353683,172402,181281,307264,150452,46419,21950,24469,156812
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Ruvuma,TZ10,Songea Urban,TZ1004,203309,96347,106962,0,0,203309,96347,106962,0
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Ruvuma,TZ10,Namtumbo,TZ1005,201639,98335,103304,174232,85015,27407,13320,14087,89217
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Ruvuma,TZ10,Nyasa,TZ1006,146160,71392,74768,138194,67642,7966,3750,4216,70552
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Iringa,TZ11,Iringa,TZ1101,249581,121113,128468,232426,112972,17155,8141,9014,119454
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Iringa,TZ11,Mufindi,TZ1102,270280,128026,142254,246121,116471,24159,11555,12604,129650
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Iringa,TZ11,Iringa Urban,TZ1103,151345,71932,79413,0,0,151345,71932,79413,0
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Iringa,TZ11,Kilolo,TZ1104,218130,105856,112274,206343,100297,11787,5559,6228,106046
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Iringa,TZ11,Mafinga Township Authority,TZ1105,51902,25125,26777,0,0,51902,25125,26777,0
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Mbeya,TZ12,Chunya,TZ1201,156786,79331,77455,107133,54518,49653,24813,24840,52615
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Mbeya,TZ12,Mbeya,TZ1202,305319,143779,161540,243616,114799,61703,28980,32723,128817
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Mbeya,TZ12,Kyela,TZ1203,221490,106012,115478,166500,79766,54990,26246,28744,86734
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Mbeya,TZ12,Rungwe,TZ1204,339157,161249,177908,288936,137572,50221,23677,26544,151364
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Mbeya,TZ12,Mbarali,TZ1207,300517,145867,154650,215788,104737,84729,41130,43599,111051
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Mbeya,TZ12,Mbeya Urban,TZ1208,385279,182620,202659,0,0,385279,182620,202659,0
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Singida,TZ13,Iramba,TZ1301,236282,116997,119285,218645,108487,17637,8510,9127,110158
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Singida,TZ13,Singida,TZ1302,225521,111772,113749,221886,110090,3635,1682,1953,111796
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Singida,TZ13,Manyoni,TZ1303,296763,146030,150733,254273,125538,42490,20492,21998,128735
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Singida,TZ13,Singida Urban,TZ1304,150788,73651,77137,65546,32817,85242,40834,44408,32729
